,merchant_id,created_at,merchant_name,order_id,status,total,user_id,net_loss,exception,created_at_string,mtd,which_day,which_month,gmv_growth,matured_ntl,rolling_change_today,matured_ntl_today,projected_ntl,exception_new
0,e9d41268-9b8b-454a-972a-0648ceea313c,2024-05-03,PayLater Test Merchant,2c4565cf-3354-447d-aa8c-4b2be1879940,ACTIVE,2.0,6ea2c8bd-de2d-4f31-be07-c771bf07f21a,1.0,exception,2024-05-03,,,,,,6.722689075630263,,,exception
1,e9d41268-9b8b-454a-972a-0648ceea313c,2024-04-01,PayLater Test Merchant,6777602e-8539-4785-b2d2-0bcd07297066,COMPLETE,5.0,806cb8b7-a842-45fc-a2b3-17ea3ff17946,0.0,exception,2024-04-01,,,,,,6.722689075630263,,,exception
2,e9d41268-9b8b-454a-972a-0648ceea313c,2024-04-30,PayLater Test Merchant,09f162c5-d084-456d-af08-41fd36cbdc72,ACTIVE,1.0,6ea2c8bd-de2d-4f31-be07-c771bf07f21a,0.5,exception,2024-04-30,,,,,,6.722689075630263,,,exception
3,e9d41268-9b8b-454a-972a-0648ceea313c,2024-04-30,PayLater Test Merchant,d15de53d-d82d-41e1-937a-2088f4b193b9,COMPLETE,1.0,a9cb6f21-cfa7-4628-a38d-53fa55d31577,0.0,exception,2024-04-30,,,,,,6.722689075630263,,,exception
4,e9d41268-9b8b-454a-972a-0648ceea313c,2024-05-02,PayLater Test Merchant,cfddefe7-b88a-465f-bad2-10fc7975af8d,ACTIVE,4.0,6ea2c8bd-de2d-4f31-be07-c771bf07f21a,4.0,exception,2024-05-02,,,,,,6.722689075630263,,,exception
5,e9d41268-9b8b-454a-972a-0648ceea313c,2024-05-03,PayLater Test Merchant,39ffd4f6-677b-4d44-83c1-9b82b5f6c3f9,ACTIVE,2.0,6ea2c8bd-de2d-4f31-be07-c771bf07f21a,1.0,exception,2024-05-03,,,,,,6.722689075630263,,,exception
6,e9d41268-9b8b-454a-972a-0648ceea313c,2024-05-03,PayLater Test Merchant,5493705e-9df7-4d5e-be07-91bb788f7e84,ACTIVE,4.0,6ea2c8bd-de2d-4f31-be07-c771bf07f21a,4.0,exception,2024-05-03,,,,,,6.722689075630263,,,exception
7,e9d41268-9b8b-454a-972a-0648ceea313c,2024-05-07,PayLater Test Merchant,d48ad37c-f193-4596-b45c-d5935413b4c8,ACTIVE,10.0,bccbec91-43be-4772-994e-948baf86fb46,0.0,exception,2024-05-07,,,,,,6.722689075630263,,,exception
8,e9d41268-9b8b-454a-972a-0648ceea313c,2024-05-06,PayLater Test Merchant,1bc81ace-f3fb-4266-b877-64a70b641016,COMPLETE,4.0,bccbec91-43be-4772-994e-948baf86fb46,0.0,exception,2024-05-06,,,,,,6.722689075630263,,,exception
9,e9d41268-9b8b-454a-972a-0648ceea313c,2024-05-06,PayLater Test Merchant,19e583e5-fdd4-4657-9765-b558eddb286d,COMPLETE,1.0,bccbec91-43be-4772-994e-948baf86fb46,0.0,exception,2024-05-06,,,,,,6.722689075630263,,,exception
10,e9d41268-9b8b-454a-972a-0648ceea313c,2024-05-07,PayLater Test Merchant,a6c9c394-3366-4fc5-bf67-09ad07e8346a,ACTIVE,1.0,6ea2c8bd-de2d-4f31-be07-c771bf07f21a,0.75,exception,2024-05-07,,,,,,6.722689075630263,,,exception
11,e9d41268-9b8b-454a-972a-0648ceea313c,2024-05-07,PayLater Test Merchant,8c047eac-6125-4662-8085-9d0746e331c4,ACTIVE,10.0,bccbec91-43be-4772-994e-948baf86fb46,0.0,exception,2024-05-07,,,,,,6.722689075630263,,,exception
12,e9d41268-9b8b-454a-972a-0648ceea313c,2024-05-07,PayLater Test Merchant,b04b9d3f-fae0-4dec-bc2c-06e9d6d3d2b9,ACTIVE,1.0,6ea2c8bd-de2d-4f31-be07-c771bf07f21a,0.75,exception,2024-05-07,,,,,,6.722689075630263,,,exception
13,e9d41268-9b8b-454a-972a-0648ceea313c,2024-05-08,PayLater Test Merchant,fd6420da-411d-49df-9bcb-39e4a274d485,ACTIVE,1.0,6ea2c8bd-de2d-4f31-be07-c771bf07f21a,1.0,exception,2024-05-08,,,,,,6.722689075630263,,,exception
14,e9d41268-9b8b-454a-972a-0648ceea313c,2024-05-07,PayLater Test Merchant,a55c86fc-6fa7-4fae-8b3d-c8ae210dd256,ACTIVE,1.0,6ea2c8bd-de2d-4f31-be07-c771bf07f21a,1.0,exception,2024-05-07,,,,,,6.722689075630263,,,exception
15,e9d41268-9b8b-454a-972a-0648ceea313c,2024-05-08,PayLater Test Merchant,dbc937c0-e551-4fbf-9b0d-cd58ef297e51,ACTIVE,1.0,6ea2c8bd-de2d-4f31-be07-c771bf07f21a,0.75,exception,2024-05-08,,,,,,6.722689075630263,,,exception
16,e9d41268-9b8b-454a-972a-0648ceea313c,2024-05-08,PayLater Test Merchant,ff7131b5-3c8b-47dd-b483-dad0214a0c11,ACTIVE,1.0,6ea2c8bd-de2d-4f31-be07-c771bf07f21a,0.75,exception,2024-05-08,,,,,,6.722689075630263,,,exception
17,e9d41268-9b8b-454a-972a-0648ceea313c,2024-05-16,PayLater Test Merchant,f8f67145-33f5-4091-a364-d76c1707152f,COMPLETE,2.0,a484d9bb-45df-4ea7-8864-7b5839c1dc07,0.0,exception,2024-05-16,,,,,0.0,6.722689075630263,,,exception
