,merchant_id,created_datetime_dubai,order_id,aed_amount,consumer_id,cluster_country,shared_ip,created_datetime_dubai_string,which_day,which_month,mtd,merchant_name,in_store
0,e9d41268-9b8b-454a-972a-0648ceea313c,2024-05-03,2c4565cf-3354-447d-aa8c-4b2be1879940,2.0,6ea2c8bd-de2d-4f31-be07-c771bf07f21a,QAT,0.0,2024-05-03,,,,PayLater Test Merchant,False
1,e9d41268-9b8b-454a-972a-0648ceea313c,2024-04-01,6777602e-8539-4785-b2d2-0bcd07297066,5.0,806cb8b7-a842-45fc-a2b3-17ea3ff17946,QAT,0.0,2024-04-01,,,,PayLater Test Merchant,False
2,e9d41268-9b8b-454a-972a-0648ceea313c,2024-04-30,09f162c5-d084-456d-af08-41fd36cbdc72,1.0,6ea2c8bd-de2d-4f31-be07-c771bf07f21a,QAT,0.0,2024-04-30,,,,PayLater Test Merchant,False
3,e9d41268-9b8b-454a-972a-0648ceea313c,2024-04-30,d15de53d-d82d-41e1-937a-2088f4b193b9,1.0,a9cb6f21-cfa7-4628-a38d-53fa55d31577,QAT,0.0,2024-04-30,,,,PayLater Test Merchant,False
4,e9d41268-9b8b-454a-972a-0648ceea313c,2024-05-02,cfddefe7-b88a-465f-bad2-10fc7975af8d,4.0,6ea2c8bd-de2d-4f31-be07-c771bf07f21a,QAT,0.0,2024-05-02,,,,PayLater Test Merchant,False
5,e9d41268-9b8b-454a-972a-0648ceea313c,2024-05-03,39ffd4f6-677b-4d44-83c1-9b82b5f6c3f9,2.0,6ea2c8bd-de2d-4f31-be07-c771bf07f21a,QAT,0.0,2024-05-03,,,,PayLater Test Merchant,False
6,e9d41268-9b8b-454a-972a-0648ceea313c,2024-05-03,5493705e-9df7-4d5e-be07-91bb788f7e84,4.0,6ea2c8bd-de2d-4f31-be07-c771bf07f21a,QAT,0.0,2024-05-03,,,,PayLater Test Merchant,False
7,e9d41268-9b8b-454a-972a-0648ceea313c,2024-05-07,d48ad37c-f193-4596-b45c-d5935413b4c8,10.0,bccbec91-43be-4772-994e-948baf86fb46,QAT,0.0,2024-05-07,,,,PayLater Test Merchant,False
8,e9d41268-9b8b-454a-972a-0648ceea313c,2024-05-06,1bc81ace-f3fb-4266-b877-64a70b641016,4.0,bccbec91-43be-4772-994e-948baf86fb46,QAT,0.0,2024-05-06,,,,PayLater Test Merchant,False
9,e9d41268-9b8b-454a-972a-0648ceea313c,2024-05-06,19e583e5-fdd4-4657-9765-b558eddb286d,1.0,bccbec91-43be-4772-994e-948baf86fb46,QAT,0.0,2024-05-06,,,,PayLater Test Merchant,False
10,e9d41268-9b8b-454a-972a-0648ceea313c,2024-05-07,a6c9c394-3366-4fc5-bf67-09ad07e8346a,1.0,6ea2c8bd-de2d-4f31-be07-c771bf07f21a,QAT,0.0,2024-05-07,,,,PayLater Test Merchant,False
11,e9d41268-9b8b-454a-972a-0648ceea313c,2024-05-07,8c047eac-6125-4662-8085-9d0746e331c4,10.0,bccbec91-43be-4772-994e-948baf86fb46,QAT,0.0,2024-05-07,,,,PayLater Test Merchant,False
12,e9d41268-9b8b-454a-972a-0648ceea313c,2024-05-07,b04b9d3f-fae0-4dec-bc2c-06e9d6d3d2b9,1.0,6ea2c8bd-de2d-4f31-be07-c771bf07f21a,QAT,0.0,2024-05-07,,,,PayLater Test Merchant,False
13,e9d41268-9b8b-454a-972a-0648ceea313c,2024-05-08,fd6420da-411d-49df-9bcb-39e4a274d485,1.0,6ea2c8bd-de2d-4f31-be07-c771bf07f21a,QAT,0.0,2024-05-08,,,,PayLater Test Merchant,False
14,e9d41268-9b8b-454a-972a-0648ceea313c,2024-05-07,a55c86fc-6fa7-4fae-8b3d-c8ae210dd256,1.0,6ea2c8bd-de2d-4f31-be07-c771bf07f21a,QAT,0.0,2024-05-07,,,,PayLater Test Merchant,False
15,e9d41268-9b8b-454a-972a-0648ceea313c,2024-05-08,dbc937c0-e551-4fbf-9b0d-cd58ef297e51,1.0,6ea2c8bd-de2d-4f31-be07-c771bf07f21a,QAT,0.0,2024-05-08,,,,PayLater Test Merchant,False
16,e9d41268-9b8b-454a-972a-0648ceea313c,2024-05-08,ff7131b5-3c8b-47dd-b483-dad0214a0c11,1.0,6ea2c8bd-de2d-4f31-be07-c771bf07f21a,QAT,0.0,2024-05-08,,,,PayLater Test Merchant,False
17,e9d41268-9b8b-454a-972a-0648ceea313c,2024-05-16,f8f67145-33f5-4091-a364-d76c1707152f,2.0,a484d9bb-45df-4ea7-8864-7b5839c1dc07,QAT,0.0,2024-05-16,,,,PayLater Test Merchant,False
18,e9d41268-9b8b-454a-972a-0648ceea313c,2024-05-09,7b042b8b-26f2-4a38-9dff-d81d2bc57bb4,1.0,6ea2c8bd-de2d-4f31-be07-c771bf07f21a,QAT,0.0,2024-05-09,,,,PayLater Test Merchant,False
19,e9d41268-9b8b-454a-972a-0648ceea313c,2024-05-14,cc8c1126-0eef-4179-81ec-6b517c1d8dc5,1.0,1fc7e142-9cde-4693-8614-89ce8541121b,QAT,1.0,2024-05-14,,,,PayLater Test Merchant,False
