,effective_at,installment_id,installment_number,merchant_id,miss,mtd,order_id,which_day,which_month,which_month_name,rolling_30,rolling_30_30_days_ago,rolling_change,rolling_30_inst1,rolling_30_30_days_ago_inst1,rolling_change_inst1,rolling_30_inst2,rolling_30_30_days_ago_inst2,rolling_change_inst2,rolling_30_inst3,rolling_30_30_days_ago_inst3,rolling_change_inst3,rolling_30_inst4,rolling_30_30_days_ago_inst4,rolling_change_inst4,merchant_name
89,2024-08-18,ab35effb-9ab0-41a8-9f7e-3aadf1677d8e,2,61b0d8b2-82f9-4d42-b5b4-89cb6b73fb84,0,,78312870-89ca-4e82-8620-577175c8fb75,,last_month,August,0.0,0.0,0.0,,,,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,Approved Market
90,2024-07-19,0b38e5f9-ea66-4f7b-bf51-c72700d00242,1,e9d41268-9b8b-454a-972a-0648ceea313c,0,,056b53d3-850a-4a4e-9a1c-53456f2576da,,last_to_last_month,July,0.3770491803278688,0.3770491803278688,0.0,0.30666666666666664,,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,PayLater Test Merchant
91,2024-07-08,13536ead-e903-47bf-9090-ebf94fa0c4a1,1,e9d41268-9b8b-454a-972a-0648ceea313c,1,last_to_last_month,dbc937c0-e551-4fbf-9b0d-cd58ef297e51,,last_to_last_month,July,0.40816326530612246,0.40816326530612246,0.0,0.26666666666666666,,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,PayLater Test Merchant
92,2024-08-21,7d8cd691-d448-4562-9289-9f91bba45d96,1,1f6dc83c-0896-407d-ab4c-097be1ef4fb9,0,,f38a5381-8da5-4ee2-a1b7-8a8feb15c562,,last_month,August,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,Store 974
93,2024-08-24,9f3eaed5-b8c3-40f7-b8f9-fb4191452043,1,1f6dc83c-0896-407d-ab4c-097be1ef4fb9,0,,9d6a7f82-60f0-410b-a94f-1752b873a935,,last_month,August,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,Store 974
94,2024-07-08,6c5ac7ba-441f-43ff-9114-0bc35ca79b1e,1,e9d41268-9b8b-454a-972a-0648ceea313c,1,last_to_last_month,ff7131b5-3c8b-47dd-b483-dad0214a0c11,,last_to_last_month,July,0.40816326530612246,0.40816326530612246,0.0,0.26666666666666666,,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,PayLater Test Merchant
95,2024-09-03,f77e51c2-768a-447d-85b8-1b1fb3cf7c91,1,1f6dc83c-0896-407d-ab4c-097be1ef4fb9,0,current_month,3cb6b44e-4698-429d-b166-743be1ad0c83,,current_month,September,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,Store 974
96,2024-09-01,b7d59b5c-d572-4c08-ba07-8aa81b9b0e2b,2,e9d41268-9b8b-454a-972a-0648ceea313c,0,current_month,16df9a2e-2fc5-4f72-a329-a1d7aa11cabb,,current_month,September,0.4594594594594595,0.42857142857142855,6.722689075630263,,,,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,PayLater Test Merchant
97,2024-09-01,6bad6265-257d-4896-9b4b-a46c94b57332,1,1f6dc83c-0896-407d-ab4c-097be1ef4fb9,0,current_month,fb247512-ad0c-4ffd-ac40-64b8eb6d7420,,current_month,September,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,Store 974
98,2024-09-11,b4f7d475-616d-4023-933c-4febc87e0857,1,1f6dc83c-0896-407d-ab4c-097be1ef4fb9,0,current_month,49d40a37-f572-4fd5-bb6c-041bf22119d9,,current_month,September,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,Store 974
99,2024-08-08,ef7d1c3d-9122-4e86-ad73-81c7a045d565,1,e9d41268-9b8b-454a-972a-0648ceea313c,1,last_month,dbc937c0-e551-4fbf-9b0d-cd58ef297e51,,last_month,August,0.47368421052631576,0.47368421052631576,0.0,0.48,,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,PayLater Test Merchant
100,2024-09-15,dc03aa54-ae7d-4ca7-9cad-7443870b8fcb,1,b85d3ac4-1e22-4d4f-b180-f6b424fcab8f,0,,4738113f-9218-48dd-a09d-a897428fb49b,,current_month,September,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,U Events
101,2024-09-15,fe0c5efb-ea55-4e03-8cbf-c674531096cb,1,1f6dc83c-0896-407d-ab4c-097be1ef4fb9,0,,c961cf7c-c17b-4bff-9552-f071328beafe,,current_month,September,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,Store 974
