,Unnamed: 0,installment_id,external_key,order_status,status,effective_at,created_datetime_dubai,n_installments,consumer_id,status_neew,Customer_status,country,merchant_id,merchant_name,current_month,last_month,last_to_last_month,which_month,created,day_number,mtd
55,67,1b860462-2d40-47a9-8a4e-5cfe0ace65c8,fd6420da-411d-49df-9bcb-39e4a274d485,ACTIVE,MISSED,2024-06-08 11:43:26.570942+00:00,2024-05-08 11:43:26.570942+00:00,4,6ea2c8bd-de2d-4f31-be07-c771bf07f21a,MISSED,new,,e9d41268-9b8b-454a-972a-0648ceea313c,PayLater Test Merchant,,,,,2024-05-08,,
56,68,8f3be9a3-0bdb-4e31-ac44-afac454dbc64,d48ad37c-f193-4596-b45c-d5935413b4c8,ACTIVE,PAID,2024-07-07 10:09:42.741566+00:00,2024-05-07 10:09:42.741566+00:00,4,bccbec91-43be-4772-994e-948baf86fb46,PAID,returning,,e9d41268-9b8b-454a-972a-0648ceea313c,PayLater Test Merchant,,,,,2024-05-07,,
57,69,9ed89dde-6e83-42e6-9f5b-cce4725b7963,fd6420da-411d-49df-9bcb-39e4a274d485,ACTIVE,MISSED,2024-07-08 11:43:26.570942+00:00,2024-05-08 11:43:26.570942+00:00,4,6ea2c8bd-de2d-4f31-be07-c771bf07f21a,MISSED,new,,e9d41268-9b8b-454a-972a-0648ceea313c,PayLater Test Merchant,,,,,2024-05-08,,
58,70,746d0cd1-1d59-4ce4-b9e9-e633867805cc,d48ad37c-f193-4596-b45c-d5935413b4c8,ACTIVE,PAID,2024-06-07 10:09:42.741566+00:00,2024-05-07 10:09:42.741566+00:00,4,bccbec91-43be-4772-994e-948baf86fb46,PAID,returning,,e9d41268-9b8b-454a-972a-0648ceea313c,PayLater Test Merchant,,,,,2024-05-07,,
59,71,912d9562-611f-4d7d-83b5-b4a03af351cf,a55c86fc-6fa7-4fae-8b3d-c8ae210dd256,ACTIVE,PAID,2024-05-07 08:40:46.047526+00:00,2024-05-07 08:40:46.047526+00:00,4,6ea2c8bd-de2d-4f31-be07-c771bf07f21a,PAID,new,,e9d41268-9b8b-454a-972a-0648ceea313c,PayLater Test Merchant,,,,,2024-05-07,,
60,72,531bec0f-cf5f-4770-be35-135ec57dc57d,8c047eac-6125-4662-8085-9d0746e331c4,ACTIVE,PAID,2024-06-07 10:07:43.219347+00:00,2024-05-07 10:07:43.219347+00:00,4,bccbec91-43be-4772-994e-948baf86fb46,PAID,returning,,e9d41268-9b8b-454a-972a-0648ceea313c,PayLater Test Merchant,,,,,2024-05-07,,
61,73,34fad4de-37eb-4108-9ac6-ea31fc2845d1,8c047eac-6125-4662-8085-9d0746e331c4,ACTIVE,PAID,2024-07-07 10:07:43.219347+00:00,2024-05-07 10:07:43.219347+00:00,4,bccbec91-43be-4772-994e-948baf86fb46,PAID,returning,,e9d41268-9b8b-454a-972a-0648ceea313c,PayLater Test Merchant,,,,,2024-05-07,,
62,74,34edb5fb-eb35-4253-ad94-b446bb83e4c1,a55c86fc-6fa7-4fae-8b3d-c8ae210dd256,ACTIVE,MISSED,2024-08-07 08:40:46.047526+00:00,2024-05-07 08:40:46.047526+00:00,4,6ea2c8bd-de2d-4f31-be07-c771bf07f21a,MISSED,new,,e9d41268-9b8b-454a-972a-0648ceea313c,PayLater Test Merchant,,,,,2024-05-07,,
63,79,c30c0db1-63d9-4a90-8d68-fd0d477e1c90,8c047eac-6125-4662-8085-9d0746e331c4,ACTIVE,PAID,2024-08-07 10:07:43.219347+00:00,2024-05-07 10:07:43.219347+00:00,4,bccbec91-43be-4772-994e-948baf86fb46,PAID,returning,,e9d41268-9b8b-454a-972a-0648ceea313c,PayLater Test Merchant,,,,,2024-05-07,,
64,80,3573269f-38f2-4204-abb6-52359300dc73,d48ad37c-f193-4596-b45c-d5935413b4c8,ACTIVE,PAID,2024-05-07 10:09:42.741566+00:00,2024-05-07 10:09:42.741566+00:00,4,bccbec91-43be-4772-994e-948baf86fb46,PAID,returning,,e9d41268-9b8b-454a-972a-0648ceea313c,PayLater Test Merchant,,,,,2024-05-07,,
65,81,f0550f90-ce79-4654-ab01-6955b32ed0d2,a55c86fc-6fa7-4fae-8b3d-c8ae210dd256,ACTIVE,MISSED,2024-06-07 08:40:46.047526+00:00,2024-05-07 08:40:46.047526+00:00,4,6ea2c8bd-de2d-4f31-be07-c771bf07f21a,MISSED,new,,e9d41268-9b8b-454a-972a-0648ceea313c,PayLater Test Merchant,,,,,2024-05-07,,
66,82,92e50a82-85be-453c-89c7-8be64157a154,a6c9c394-3366-4fc5-bf67-09ad07e8346a,ACTIVE,MISSED,2024-07-07 11:06:44.217312+00:00,2024-05-07 11:06:44.217312+00:00,4,6ea2c8bd-de2d-4f31-be07-c771bf07f21a,MISSED,new,,e9d41268-9b8b-454a-972a-0648ceea313c,PayLater Test Merchant,,,,,2024-05-07,,
67,83,d5137d71-6848-4153-ac49-173975b132ec,b04b9d3f-fae0-4dec-bc2c-06e9d6d3d2b9,ACTIVE,MISSED,2024-08-07 11:31:29.762438+00:00,2024-05-07 11:31:29.762438+00:00,4,6ea2c8bd-de2d-4f31-be07-c771bf07f21a,MISSED,new,,e9d41268-9b8b-454a-972a-0648ceea313c,PayLater Test Merchant,,,,,2024-05-07,,
68,84,a4e4e173-245b-4cf7-bdd3-ec74ca38b237,047c402d-29f9-49d6-a101-0a42a232cc17,VOIDED,VOIDED,2024-05-07 11:30:25.063975+00:00,2024-05-07 11:30:25.063975+00:00,4,fada4f61-ac7e-4087-94e1-7eae3a2905ce,VOIDED,new,,e9d41268-9b8b-454a-972a-0648ceea313c,PayLater Test Merchant,,,,,2024-05-07,,
69,85,c7a3ebb9-b42e-4526-80ca-a2dc3465262c,a6c9c394-3366-4fc5-bf67-09ad07e8346a,ACTIVE,PAID,2024-05-07 11:06:44.217312+00:00,2024-05-07 11:06:44.217312+00:00,4,6ea2c8bd-de2d-4f31-be07-c771bf07f21a,PAID,new,,e9d41268-9b8b-454a-972a-0648ceea313c,PayLater Test Merchant,,,,,2024-05-07,,
