,approval,attempted_at,attempted_at_day,consumer_id,merchant_id,mtd,reason,shared,which_day,which_month,merchant_name,in_store
0,approved,2024-07-31 00:48:09.757435+00:00,2024-07-31,d571e2af-3170-4350-b899-b18ef1655621,0521c6ab-da85-4d1f-b880-4cac9f5de5f3,,,0,,last_to_last_month,,
1,approved,2024-07-31 08:23:03.305752+00:00,2024-07-31,63b206d7-59bb-4458-bec0-9d5ce4dc0183,0521c6ab-da85-4d1f-b880-4cac9f5de5f3,,,0,,last_to_last_month,,
2,approved,2024-07-31 12:13:56.660348+00:00,2024-07-31,1ea00478-05f4-440b-97a6-61aa244b157c,0521c6ab-da85-4d1f-b880-4cac9f5de5f3,,,0,,last_to_last_month,,
3,approved,2024-07-31 12:31:29.119764+00:00,2024-07-31,c302dc56-3f7f-413a-a930-213779fc6625,0521c6ab-da85-4d1f-b880-4cac9f5de5f3,,,0,,last_to_last_month,,
4,approved,2024-07-31 13:28:40.150720+00:00,2024-07-31,60f82ff8-3cdf-44d4-9115-951e79078bba,0521c6ab-da85-4d1f-b880-4cac9f5de5f3,,,0,,last_to_last_month,,
5,approved,2024-07-31 15:57:51.520016+00:00,2024-07-31,0964d12a-4bf0-4fe8-a225-e6bdc3f9d2da,0521c6ab-da85-4d1f-b880-4cac9f5de5f3,,,0,,last_to_last_month,,
6,approved,2024-07-31 16:32:39.791743+00:00,2024-07-31,b844e361-b187-422e-9a3b-c598ad7f1715,0521c6ab-da85-4d1f-b880-4cac9f5de5f3,,,0,,last_to_last_month,,
7,approved,2024-07-31 17:23:59.815156+00:00,2024-07-31,2729dfbf-714b-44ac-bb99-eec0c90a7213,0521c6ab-da85-4d1f-b880-4cac9f5de5f3,,,0,,last_to_last_month,,
8,approved,2024-07-31 18:01:45.898752+00:00,2024-07-31,80d21224-83a2-45ff-a91c-3a792e4a63cc,0521c6ab-da85-4d1f-b880-4cac9f5de5f3,,,0,,last_to_last_month,,
9,approved,2024-07-31 18:09:02.586074+00:00,2024-07-31,80e1751c-9436-4175-8c06-0b7a3b6d7efe,0521c6ab-da85-4d1f-b880-4cac9f5de5f3,,,0,,last_to_last_month,,
10,approved,2024-07-31 18:22:18.172923+00:00,2024-07-31,34f1b4f9-7242-43b1-9abc-b74235964319,0521c6ab-da85-4d1f-b880-4cac9f5de5f3,,,0,,last_to_last_month,,
11,approved,2024-07-30 13:27:08.455797+00:00,2024-07-30,d571e2af-3170-4350-b899-b18ef1655621,0521c6ab-da85-4d1f-b880-4cac9f5de5f3,,,0,,last_to_last_month,,
12,approved,2024-07-30 14:01:58.093558+00:00,2024-07-30,49f76042-559a-4aec-8157-f1382635adf9,0521c6ab-da85-4d1f-b880-4cac9f5de5f3,,,0,,last_to_last_month,,
13,approved,2024-07-30 14:36:49.024572+00:00,2024-07-30,ef646e60-2df2-4917-aaf9-ba96cd51ff81,0521c6ab-da85-4d1f-b880-4cac9f5de5f3,,,0,,last_to_last_month,,
14,approved,2024-07-30 14:51:29.139786+00:00,2024-07-30,5b792df7-fefb-4c42-8355-ef998057ba67,0521c6ab-da85-4d1f-b880-4cac9f5de5f3,,,0,,last_to_last_month,,
