,aed_amount,total_amount,currency,created_at,exception,exception_amount,merchant_id,mtd,net_loss,order_id,user_id,which_day,which_month,gmv_growth,rolling_change_today,matured_ntl_today,projected_ntl_today,merchant_name
0,2.0,2.0,QAR,2024-05-03,1,15000.0,e9d41268-9b8b-454a-972a-0648ceea313c,,1.0,2c4565cf-3354-447d-aa8c-4b2be1879940,6ea2c8bd-de2d-4f31-be07-c771bf07f21a,,,,,,,PayLater Test Merchant
1,5.0,5.0,,2024-04-01,1,15000.0,e9d41268-9b8b-454a-972a-0648ceea313c,,0.0,6777602e-8539-4785-b2d2-0bcd07297066,806cb8b7-a842-45fc-a2b3-17ea3ff17946,,,,,,,PayLater Test Merchant
2,1.0,1.0,QAR,2024-04-30,1,15000.0,e9d41268-9b8b-454a-972a-0648ceea313c,,0.5,09f162c5-d084-456d-af08-41fd36cbdc72,6ea2c8bd-de2d-4f31-be07-c771bf07f21a,,,,,,,PayLater Test Merchant
3,1.0,1.0,QAR,2024-04-30,1,15000.0,e9d41268-9b8b-454a-972a-0648ceea313c,,0.0,d15de53d-d82d-41e1-937a-2088f4b193b9,a9cb6f21-cfa7-4628-a38d-53fa55d31577,,,,,,,PayLater Test Merchant
4,4.0,4.0,,2024-05-02,1,15000.0,e9d41268-9b8b-454a-972a-0648ceea313c,,4.0,cfddefe7-b88a-465f-bad2-10fc7975af8d,6ea2c8bd-de2d-4f31-be07-c771bf07f21a,,,,,,,PayLater Test Merchant
5,2.0,2.0,QAR,2024-05-03,1,15000.0,e9d41268-9b8b-454a-972a-0648ceea313c,,1.0,39ffd4f6-677b-4d44-83c1-9b82b5f6c3f9,6ea2c8bd-de2d-4f31-be07-c771bf07f21a,,,,,,,PayLater Test Merchant
6,4.0,4.0,,2024-05-03,1,15000.0,e9d41268-9b8b-454a-972a-0648ceea313c,,4.0,5493705e-9df7-4d5e-be07-91bb788f7e84,6ea2c8bd-de2d-4f31-be07-c771bf07f21a,,,,,,,PayLater Test Merchant
7,10.0,10.0,,2024-05-07,1,15000.0,e9d41268-9b8b-454a-972a-0648ceea313c,,0.0,d48ad37c-f193-4596-b45c-d5935413b4c8,bccbec91-43be-4772-994e-948baf86fb46,,,,,,,PayLater Test Merchant
8,4.0,4.0,,2024-05-06,1,15000.0,e9d41268-9b8b-454a-972a-0648ceea313c,,0.0,1bc81ace-f3fb-4266-b877-64a70b641016,bccbec91-43be-4772-994e-948baf86fb46,,,,,,,PayLater Test Merchant
9,1.0,1.0,QAR,2024-05-06,1,15000.0,e9d41268-9b8b-454a-972a-0648ceea313c,,0.0,19e583e5-fdd4-4657-9765-b558eddb286d,bccbec91-43be-4772-994e-948baf86fb46,,,,,,,PayLater Test Merchant
10,1.0,1.0,QAR,2024-05-07,1,15000.0,e9d41268-9b8b-454a-972a-0648ceea313c,,0.75,a6c9c394-3366-4fc5-bf67-09ad07e8346a,6ea2c8bd-de2d-4f31-be07-c771bf07f21a,,,,,,,PayLater Test Merchant
11,10.0,10.0,,2024-05-07,1,15000.0,e9d41268-9b8b-454a-972a-0648ceea313c,,0.0,8c047eac-6125-4662-8085-9d0746e331c4,bccbec91-43be-4772-994e-948baf86fb46,,,,,,,PayLater Test Merchant
12,1.0,1.0,QAR,2024-05-07,1,15000.0,e9d41268-9b8b-454a-972a-0648ceea313c,,0.75,b04b9d3f-fae0-4dec-bc2c-06e9d6d3d2b9,6ea2c8bd-de2d-4f31-be07-c771bf07f21a,,,,,,,PayLater Test Merchant
13,1.0,1.0,,2024-05-08,1,15000.0,e9d41268-9b8b-454a-972a-0648ceea313c,,1.0,fd6420da-411d-49df-9bcb-39e4a274d485,6ea2c8bd-de2d-4f31-be07-c771bf07f21a,,,,,,,PayLater Test Merchant
14,1.0,1.0,,2024-05-07,1,15000.0,e9d41268-9b8b-454a-972a-0648ceea313c,,1.0,a55c86fc-6fa7-4fae-8b3d-c8ae210dd256,6ea2c8bd-de2d-4f31-be07-c771bf07f21a,,,,,,,PayLater Test Merchant
15,1.0,1.0,QAR,2024-05-08,1,15000.0,e9d41268-9b8b-454a-972a-0648ceea313c,,0.75,dbc937c0-e551-4fbf-9b0d-cd58ef297e51,6ea2c8bd-de2d-4f31-be07-c771bf07f21a,,,,,,,PayLater Test Merchant
16,1.0,1.0,QAR,2024-05-08,1,15000.0,e9d41268-9b8b-454a-972a-0648ceea313c,,0.75,ff7131b5-3c8b-47dd-b483-dad0214a0c11,6ea2c8bd-de2d-4f31-be07-c771bf07f21a,,,,,,,PayLater Test Merchant
17,2.0,2.0,QAR,2024-05-16,1,15000.0,e9d41268-9b8b-454a-972a-0648ceea313c,,0.0,f8f67145-33f5-4091-a364-d76c1707152f,a484d9bb-45df-4ea7-8864-7b5839c1dc07,,,,,,,PayLater Test Merchant
18,1.0,1.0,QAR,2024-05-09,1,15000.0,e9d41268-9b8b-454a-972a-0648ceea313c,,0.75,7b042b8b-26f2-4a38-9dff-d81d2bc57bb4,6ea2c8bd-de2d-4f31-be07-c771bf07f21a,,,,,,,PayLater Test Merchant
19,1.0,1.0,QAR,2024-05-14,1,15000.0,e9d41268-9b8b-454a-972a-0648ceea313c,,0.0,cc8c1126-0eef-4179-81ec-6b517c1d8dc5,1fc7e142-9cde-4693-8614-89ce8541121b,,,,,,,PayLater Test Merchant
